,song_name,class,tempo,total_beats,average_beats,chroma_stft_mean,chroma_stft_std,chroma_stft_var,chroma_cq_mean,chroma_cq_std,chroma_cq_var,chroma_cens_mean,chroma_cens_std,chroma_cens_var,melspectrogram_mean,melspectrogram_std,melspectrogram_var,mfcc_mean,mfcc_std,mfcc_var,mfcc_delta_mean,mfcc_delta_std,mfcc_delta_var,rms_mean,rms_std,rms_var,cent_mean,cent_std,cent_var,spec_bw_mean,spec_bw_std,spec_bw_var,contrast_mean,contrast_std,contrast_var,rolloff_mean,rolloff_std,rolloff_var,poly_mean,poly_std,poly_var,tonnetz_mean,tonnetz_std,tonnetz_var,zcr_mean,zcr_std,zcr_var,harm_mean,harm_std,harm_var,perc_mean,perc_std,perc_var,frame_mean,frame_std,frame_var
0,2U.mp3,happy,0.571759259,0.652573413,0.3190395,0.274587502,0.487642294,0.456309419,0.248679625,0.457972617,0.416648377,0.452333661,0.692582961,0.591149293,0.418174193,0.32128955,0.104298544,0.732447814,0.096660066,0.050578492,0.706066806,0.343332868,0.26548916,0.71425303,0.381695084,0.173154724,0.616465828,0.613802037,0.502439683,1,0.477229379,0.361214774,0.630235439,0.247433549,0.216883753,0.871533525,0.613775606,0.525344129,0.715443168,0.636883225,0.434392808,0.210875452,0.532241246,0.381364444,0.423077325,0.477170829,0.325238934,0.695645468,0.602879889,0.374819876,0.414739352,0.469630138,0.247359138,0.056486726,0.093821896,0.024118881
1,Adele - Hello.mp3,relax,0.794444444,0.76900331,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0.592612903,0.010830915,0.00713177,0,0,0,0.135756943,0.256152525,0.166640242,0.391192339,0.280873981,0.186946898,0,0.616829697,0.578053787,0.181078058,0.157297028,0.107848588,0,0,0,0.343061017,0.039173213,0.016363159,0.21567224,0.291644877,0.165833288,0.662240163,0,0,0.33736963,0,0,1,1,1
2,Alan Walker - Darkside (feat. AuRa and Tomine Harket).mp3,sad,0.126388889,0.139302324,0.306505854,0.162970654,0.535894429,0.504704016,0.142575076,0.744711363,0.71306221,0.260770868,0.837804174,0.773065383,0.297714195,0.200676394,0.041059249,0.666854159,0.178595251,0.101174752,0.874122882,0.023859103,0.015817724,0.593733853,0.423590474,0.207841752,0.42793255,0.546998347,0.430589523,0.606955503,0.502200292,0.385946823,0.757582804,0.377760898,0.339197155,0.470839702,0.468882578,0.375983331,0.662137005,0.665823895,0.471004083,0.804687626,0.795034907,0.696280128,0.402810867,0.390385817,0.245453795,0.692908859,0.533584768,0.296516968,0.395921857,0.384338955,0.173182669,0.182599314,0.313670675,0.137172481
3,Alan Walker - Diamond Heart (feat. Sophia Somajo).mp3,sad,0.149425287,0.145004552,0.401787281,0.120628737,0.499834577,0.468482493,0.159101511,0.63398366,0.595353776,0.319771974,0.795820531,0.718408296,0.155600905,0.149992282,0.023124194,0.38049424,0.212259966,0.124017057,0.807871459,0,0,0.396106591,0.351188094,0.149848363,0.480962402,0.296190226,0.198257889,0.760754859,0.181855065,0.112667194,0.713110541,0.310352449,0.275237887,0.577283388,0.167797687,0.115705518,0.435102077,0.452860737,0.235910114,0.739784915,0.755661229,0.643766006,0.334400906,0.242126582,0.130374814,0.695267961,0.378261982,0.154236933,0.399305074,0.25471235,0.08530903,0.167764806,0.097771631,0.025450846
4,"Alan Walker - Different World feat. Sofia Carson, K-391 & CORSAK (Lyric Video).mp3",happy,0.460416667,0.528811071,0.308528437,0.357316814,0.449425165,0.418393634,0.283932782,0.829578594,0.806042993,0.369703481,0.758472999,0.67119833,0.396663848,0.289291577,0.084699945,0.90720212,0.133917831,0.072707258,0.887443057,0.188177026,0.135430853,0.685938608,0.473880508,0.253575623,0.590129035,0.739653001,0.649187978,0.83050528,0.669629273,0.566754163,0.670145461,0.430328171,0.390109344,0.792971878,0.682566048,0.601739207,0.736067796,0.73178333,0.559926567,0.580405163,0.752417635,0.639523679,0.445186346,0.493700344,0.341475225,0.689323615,0.563800253,0.329535426,0.422608,0.586889876,0.370533167,0.173274766,0.286408968,0.118849186
5,Alone_(Alan_Walker)(www.englishsong.in).mp3,happy,0.200617284,0.217644444,0.299016761,0.28152797,0.570636476,0.539910252,0.366710798,0.737455791,0.705224024,0.501642484,0.650544501,0.542238808,0.499789507,0.391960289,0.15480402,0.875076869,0.080048516,0.041184543,0.956744794,0.086847051,0.05946525,0.760783019,0.604377196,0.393096294,0.653891352,0.418122357,0.30382527,0.951035046,0.413680637,0.300889818,0.554735356,0.13422099,0.115156185,0.834067344,0.492743023,0.399502207,0.904353037,0.912989273,0.843432916,0.460867215,0.638990163,0.499190789,0.470945664,0.255924043,0.139954588,0.677652904,0.659327741,0.445366789,0.388853101,0.549737244,0.328850738,0.079451316,0.190795347,0.064216848
6,Ariana Grande - 7 rings.mp3,relax,0,0,0.324548947,0.260478363,0.825290846,0.807208734,0.168399718,0.821076849,0.796620261,0.31752955,0.797457512,0.720507961,0.300071124,0.439746289,0.194587447,0.578160833,0.265942186,0.162916295,0.628243781,0.592574812,0.509215479,0.518753886,0.563871477,0.346568565,0.395029192,0.791379009,0.713818146,0.693755133,0.826005,0.759171568,0.658242459,0.522043395,0.481107909,0.526086023,0.760131285,0.692113926,0.41917661,0.406317116,0.195105404,0.153375983,0.751110935,0.637818237,0.257783002,0.454422033,0.303437847,0.6903243,0.54647261,0.31038762,0.400665781,0.327760553,0.13114012,0.473933649,0.308167786,0.133375682
7,Ariana Grande - imagine (lyric video).mp3,happy,0.412698413,0.419283128,0.234697513,0.236892323,0.71853353,0.693170368,0.142811939,0.927047714,0.915788951,0.250856194,0.84464485,0.782130144,0.527222096,0.40193406,0.162732228,0.739872642,0.142009957,0.077707155,0.952390111,0.740944889,0.674671168,0.781624421,0.597615818,0.385128083,0.643991182,0.694862389,0.595254291,0.825072135,0.441043673,0.326404301,0.865259082,0.694095928,0.659261424,0.717843339,0.441978789,0.349974158,0.742314693,0.735936779,0.565780973,0.414290772,0.981169746,0.969972986,0.565902125,0.647079204,0.508003922,0.693140825,0.680571616,0.473488936,0.423471621,0.657642352,0.456724847,0.044156745,0.067936963,0.016022878
8,"Ariana Grande - thank u, next (Lyrics).mp3",happy,0.293402778,0.327941623,0.324603936,0.260078097,0.746001344,0.722238585,0.259750153,0.676312587,0.639869479,0.504682154,0.647880242,0.539195763,0.461682848,0.350211507,0.123766351,0.661378821,0.211163115,0.123253949,0.83786321,0.510053587,0.423770134,0.725168563,0.49341477,0.272545385,0.345555214,0.393497601,0.281379764,0.736714949,0.554280846,0.439395274,0.796410752,0.747611758,0.716655381,0.476507742,0.565751008,0.474103279,0.685292782,0.689997866,0.502709508,0.094696002,0.58078778,0.433236349,0.159860676,0.139613603,0.066459864,0.695311691,0.611418069,0.385101007,0.352862013,0.609280484,0.396843417,0.135591261,0.224865535,0.081965039
9,Attention_(Charlie_Puth)_(www.englishsong.in).mp3,happy,0.229166667,0.259394915,0.291178871,0.160623583,0.684512568,0.657429744,0.246007025,0.83991465,0.817531028,0.484759687,0.665184844,0.559081309,0.25545623,0.300136134,0.091113908,0.366182917,0.281348454,0.174641746,0.68299203,0.67453865,0.598738556,0.462980655,0.55771682,0.339752693,0.562669754,0.674712372,0.571605807,0.923701787,0.3114623,0.211736499,0.753719553,0.375599139,0.337122869,0.729501001,0.578693572,0.487743239,0.404130213,0.476447217,0.258036664,0.034885701,0.717009667,0.594042651,0.362048067,0.580342768,0.432024533,0.694685558,0.410671796,0.180130603,0.402663333,0.542837968,0.321381538,0.03687435,0.076203887,0.018489107
